,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,class
58,6.918,6.043,5.63,5.096,4.971,,,4.472,4.217,,,,,0.8101,0.728,0.2687,0.3211,0.4,,,1,,,S-AGB
59,5.657,4.72,4.432,4.234,3.97,,,3.765,3.636,,,,,1.651,1.428,0.4289,0.3999,0.4,,,1.169,,,S-AGB
60,5.452,4.468,3.923,3.602,3.381,,,3.296,2.816,,,,,2.602,2.049,0.8929,0.7587,0.4,,,1.995,,,S-AGB
61,6.841,5.769,5.246,4.817,4.443,,,4.178,4.008,,,,,1.34,0.7498,0.3704,0.2353,0.4,,,1.191,,,S-AGB
62,3.722,2.8,2.161,-0.782,-0.554,,,0.966,0.559,,,,,19.969999,18.03,6.584,5.665,1.343,0.8524,0.7754,1.001,,0.0522,S-AGB
63,5.726,4.758,4.283,3.967,3.607,,,3.371,3.013,,,,,2.048,1.692,0.7508,0.5618,0.4,,,2.037,,,S-AGB
64,5.585,4.752,4.278,4.158,3.98,,,3.891,3.55,,,,,1.46,1.239,0.4207,0.3868,0.4,,,5.486,,,S-AGB
65,6.398,5.502,5.148,5.14,5.056,,,4.603,3.831,,,,,0.7275,0.6671,0.4174,0.3288,0.4,,,1,,,S-AGB
66,6.248,5.136,4.71,4.498,4.494,,,3.785,3.394,,,,,1.534,1.433,0.54,0.398,0.4,,,1.683,,,S-AGB
67,5.913,5.034,4.594,4.424,4.241,,,4.098,3.73,,,,,1.156,0.9706,,0.3738,0.4,,,4.88,,,S-AGB
68,2.53,1.642,1.459,-1.435,-0.722,,,0.061,-0.475,,,,,37.029999,21.6,12.6,7.516,2.338,1.729,1.164,1.419,1.235,1.625,S-AGB
69,2.595,1.67,1.39,-1.055,-0.546,,,1.166,0.514,,,,,18.299999,14.54,6.184,6.065,1.856,0.877,0.9198,1.879,0.6977,0.7101,S-AGB
70,4.829,3.464,3.078,1.825,2.592,,,2.514,2.049,,,,,5.374,4.147,1.596,1.444,0.3385,,,1.729,,,S-AGB
71,6.505,5.636,5.225,4.944,4.725,,,4.428,4.114,,,,,0.8736,0.7814,0.2678,0.25,0.4,,,1.064,,,S-AGB
72,6.609,5.724,5.433,5.189,5.158,,,5.109,4.891,,,,,0.5157,0.3731,0.136,0.25,0.4,,,1.035,,,S-AGB
73,4.553,3.456,2.754,0.525,-0.051,,,0.59,-0.127,,,,,20.25,26.75,8.819,11.56,1.998,1.581,0.9059,1.067,,1.682,S-AGB
74,5.537,4.635,4.158,3.799,3.44,,,3.114,2.948,,,,,3.027,2.308,0.765,0.6377,0.4,,,1.001,,,S-AGB
75,5.15,4.263,3.886,3.581,3.478,,,3.437,3.055,,,,,2.29,1.646,0.6489,0.6083,0.4,,,1.621,,,S-AGB
76,4.328,3.276,2.723,1.41,0.411,,,0.704,-0.23,,,,,11.37,19.46,9.186,10.29,1.864,0.9393,1.034,9.515,0.3569,,S-AGB
77,5.515,4.713,4.277,4.186,3.907,,,3.809,3.431,,,,,1.537,1.274,0.4821,0.3742,0.4,,,5.983,,,S-AGB
78,0.65,-0.376,-0.688,-1.868,-2.002,,,-1.079,-2.13,,,,,154.800003,121.9,79.330002,64.21,11.51,6.988,5.21,4.538,1.269,0.9965,S-AGB
79,4.81,3.654,3.312,2.997,2.925,,,2.879,2.721,,,,,3.951,2.942,0.9984,0.8739,0.4,,,1.239,,,S-AGB
80,5.61,4.593,4.229,3.943,3.635,,,3.507,2.978,,,,,1.755,1.597,0.6732,0.6431,0.4,,,1.31,,,S-AGB
81,5.678,4.86,4.327,4.251,3.754,,,3.788,3.385,,,,,1.491,1.214,0.4577,0.4317,0.4,,,1.976,,,S-AGB
82,14.857,14.469,14.073,4.459,4.307,,,4.134,3.767,,,,,,1.053,,0.3049,0.4,,,1.406,,,S-AGB
83,6.149,5.118,4.676,4.503,4.021,,,4.222,3.78,,,,,1.131,0.9631,0.4047,0.3773,0.4,,,1.286,,,S-AGB
84,6.508,5.535,5,4.743,4.271,,,3.727,3.229,,,,,1.298,1.374,0.4255,0.5087,0.4,,,1,,,S-AGB
85,5.294,4.348,3.913,3.423,3.257,,,3.085,2.525,,,,,2.798,2.229,1.115,0.9133,0.4,,,5.997,,,S-AGB
86,6.164,5.221,4.584,3.688,3.093,,,2.278,1.733,,,,,4.088,3.518,2.041,1.498,0.4,,,3.277,,,S-AGB
87,6.83,5.765,5.315,4.916,4.839,,,4.481,4.162,,,,,0.8388,0.5718,,0.2576,0.4,,,11.19,,,S-AGB
88,5.528,4.73,4.179,4.053,3.685,,,3.773,3.454,,,,,1.656,1.258,0.5155,0.3895,0.4,,,1,,,S-AGB
89,2.805,1.705,1.257,-1.551,-0.308,,,0.849,0.373,,,,,23.530001,19.35,7.285,7.081,2.012,0.8692,1.005,1,0.8242,1.081,S-AGB
90,4.996,3.74,3.407,2.321,2.865,,,2.696,1.863,,,,,4.048,3.261,1.707,1.744,0.5178,,,6,,,S-AGB
91,6.765,5.813,5.344,5.12,5.206,,,5.066,4.887,,,,,0.5476,0.3705,,0.25,0.4,,,8.592,,,S-AGB
92,7.143,6.218,5.798,5.872,5.686,,,5.056,4.548,,,,,0.4462,0.3587,0.2287,0.2899,0.4,,,1,,,S-AGB
93,5.327,4.606,4.104,3.57,3.03,,,2.705,2.358,,,,,3.646,3.423,1.225,1.127,0.4,,,1,,,S-AGB
94,5.331,4.355,3.874,3.536,3.376,,,3.243,2.703,,,,,2.441,1.971,0.8537,0.7814,0.4,,,2.229,,,S-AGB
95,3.561,2.508,2.139,0.368,0.227,,,1.095,0.52,,,,,13.62,13.84,6.652,6.206,0.835,0.7294,0.4306,2.695,0.976,1.135,S-AGB
96,4.768,3.719,3.502,2.476,3.029,,,3.229,3.108,,,,,2.935,2.201,0.7261,0.6612,0.4,,,1.321,,,S-AGB
97,4.991,3.993,3.705,3.665,3.573,,,3.497,3.281,,,,,2.319,1.873,0.6409,0.5065,0.4,,,1,,,S-AGB
98,3.542,2.587,2.306,0.27,0.392,,,1.999,1.874,,,,,8.885,7.019,2.229,1.838,0.4465,,,1,,,S-AGB
