,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,,,
,Jmag (1.22u),Hmag (1.63u),Kmag (2.19u),3.4u,4.6u,5.8u,8u,12u,22u,24u,,J (1.22u),H (1.63u),K (2.19u),3.6u flux,4.5u flux,5.8u flux,9u flux,12u flux,18u flux,25u flux,60u flux,65u flux,90u flux,100u flux,140u flux,160u flux,8.28u,12.13u,14.65,21.34,,,class
,8.404,7.931,7.607,,,,,,,,,,,,,,,,6.14,,5.55,1.24,,,1.59,,,,,,,,,Post- AGB
,6.323,5.978,5.526,,,,,,,,,,,,,,,,4.53,,2.22,0.953,,,0.871,,,,,,,,,Post- AGB
,6.868,6.708,6.606,,,,,,,,,,,,,,,,24.5,,117,50.1,,,18.7,,,,,,,,,Post- AGB
,8.836,8.211,7.766,,,,,,,,,,,,,,,,7.68,,29.9,10.7,,,2.53,,,,,,,,,Post- AGB
,8.675,8.057,7.507,,,,,,,,,,,,,,,,2.28,,1.4,0.4,,,2.31,,,,,,,,,Post- AGB
,9.651,8.909,8.512,,,,,,,,,,,,,,,,6.11,,27.4,15.1,,,4.1,,,,,,,,,Post- AGB
,10.206,9.504,9.076,,,,,,,,,,,,,,,,2.59,,4.22,3.96,,,3.68,,,,,,,,,Post- AGB
,5.816,5.322,4.94,,,,,,,,,,,,,,,,15.3,,68.1,18.5,,,3.68,,,,,,,,,Post- AGB
,6.577,5.145,3.655,,,,,,,,,,,,,,,,422,,456,173,,,66.2,,,,,,,,,Post- AGB
,8.067,7.482,7.462,,,,,,,,,,,,,,,,0.274,,4.59,70.7,,,28.2,,,,,,,,,Post- AGB
,7.044,6.314,6.063,,,,,,,,,,,,,,,,9.68,,9.37,2.49,,,1.86,,,,,,,,,Post- AGB
,10.684,10.406,10.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post- AGB
,9.042,8.597,7.986,,,,,,,,,,,,,,,,3.49,,2.46,0.569,,,1,,,,,,,,,Post- AGB
,4.925,4.269,4.042,,,,,,,,,,,,,,,,124,,88.4,26.6,,,9.54,,,,,,,,,Post- AGB
,11.035,10.16,8.959,,,,,,,,,,,,,,,,6.3,,15.2,6.05,,,8.05,,,,,,,,,Post- AGB
,6.093,5.372,5.161,,,,,,,,,,,,,,,,0.403,,0.11,0.0678,,,0.486,,,,,,,,,Post- AGB
